English,Japanese
"Your collection needs to be upgraded to the V2 scheduler.
Please select { scheduling-update-more-info-button } before proceeding.","コレクションのスケジューラーを、V2スケジューラーにアップデートする必要があります。
続行する前に「{ scheduling-update-more-info-button }」を選択してください。"
Your database appears to be in an inconsistent state. Please use the Check Database action.,データベースが矛盾した状態にあるようです。[ツール] → [データベースをチェック] の操作を行ってください。
"Your decks here and on AnkiWeb differ in such a way that they can't be merged together, so it's necessary to overwrite the decks on one side with the decks from the other.

If you choose download, Anki will fetch the collection from AnkiWeb, and any changes you have made on this device since the last sync will be lost.

If you choose upload, Anki will send this device's data to AnkiWeb, and any changes that are waiting on AnkiWeb will be lost.

After all devices are in sync, future reviews and added cards can be merged automatically.","このコレクションには AnkiWeb 上のコレクションと競合する内容があり、双方を統合できません。どちらか一方でもう一方を上書きする必要があります。

アップロードを選択すると、AnkiWeb にこのコレクションをアップロードします。前回の同期以降に AnkiWeb 上や他のデバイスで行った変更は失われます。

ダウンロードを選択すると、AnkiWeb からコレクションをダウンロードします。前回の同期以降にこのデバイス上で行った変更は失われます。

すべてのデバイスで同期した後は、各デバイスでのカードの学習や追加が自動的に統合できるようになります。"
Your desired retention is below optimal. Increasing it is recommended.,現在、この値よりも低い値が「目標正答率」として設定されています。「目標正答率」をこの値以上に変更することをおすすめします。
Your proxy requires authentication.,プロキシの認証が必要です。
Your proxy requires authentication.,プロキシの認証が必要です。
"Zero or more delays, separated by spaces. By default, pressing the `Again`
button on a review card will show it again 10 minutes later. If no delays
are provided, the card will have its interval changed, without entering
relearning. { -deck-config-delay-hint }","通常、１個または複数個のステップ（※）を、各ステップの間に半角スペースをはさんで入力します。

※ステップ：前の学習から一定の間隔をあけた習得学習（または再習得学習）のスケジュール。例えば「`10m`」は、「前の学習から10分（minutes）経過してから表示する」という意味。

デフォルト（「`10m`」）では、復習カードで「`もう一度`」ボタンを押すと、そのカードは再習得中カードとして10分後に再び表示されます。ステップが入力されていない場合は、そのカードは再習得ステップに入らずに復習間隔が変更されます。

{ -deck-config-delay-hint }"
Zoom,画像表示のサイズ・位置の調整
Zoom In,拡大
Zoom Out,縮小
{ $count } seconds,{ $count }秒
"A big thanks to all the people who have provided suggestions, bug reports and donations.",提案、バグ報告、寄付をしてくださった方々に感謝いたします。
&About...,Anki について (&A)
About Anki,Anki について
Add-on has no configuration.,このアドオンには設定項目がありません。
Add-on installation error,アドオンのインストールエラー
Add-ons,アドオン
Add-ons,アドオン
Add-ons possibly involved: { $addons },次のアドオンが関係している可能性があります：{ $addons }
Add-on Startup Failed,アドオンの起動に失敗
[add-on support site](https://help.ankiweb.net/discussions/add-ons/),[アドオン・サポートサイト](https://help.ankiweb.net/discussions/add-ons/)
Add-on was not downloaded from AnkiWeb.,アドオンがAnkiWebからダウンロードされませんでした。
Add-on will be installed when a profile is opened.,プロファイルを開いた時にアドオンがインストールされます。
<a href='{ $val }'>Visit website</a>,<a href='{ $val }'>公式サイトを開く</a>
"All cards, notes, and media for the profile ""{ $name }"" will be deleted. Are you sure?","プロファイル ""{ $name }"" のすべてのカード、ノート、メディア（画像・音声・動画）ファイルが削除されます。よろしいですか？"
"All cards, notes, and media for this profile will be deleted. Are you sure?",このプロファイルのすべてのカード、ノート、メディア（画像・音声・動画）ファイルが削除されます。よろしいですか？
"An add-on you installed failed to load. If problems persist, please go to the Tools>Add-ons menu, and disable or delete the add-on.

When loading '{ $name }':
{ $traceback }","インストールしたアドオンの読み込みに失敗しました。問題が続く場合は、メニューバーの[ツール]→[アドオン]で表示されるアドオン管理画面で、該当するアドオンを無効化するか削除してください。

'{ $name }' を読み込んだ際のエラー:
{ $traceback }"
"An error occurred while accessing the database.

Possible causes:

- Antivirus, firewall, backup, or synchronization software may be
interfering with Anki. Try disabling such software and see if the
problem goes away.
- Your disk may be full.
- The Documents/Anki folder may be on a network drive.
- Files in the Documents/Anki folder may not be writeable.
- Your hard disk may have errors.

It's a good idea to run Tools>Check Database to ensure your collection is not corrupt.","データベースへのアクセス中にエラーが発生しました。

考えられる原因:

- アンチウイルス、ファイアウォール、バックアップ、同期機能のソフトが Anki との接続の障害になっている。このようなソフトを無効にして、問題が解決するか調べてみてください。
- お使いになっているディスクに空き容量がない。
- Documents/Anki フォルダをネットワークドライブに設定している。
- Documents/Anki フォルダ内のファイルに書き込みができない。
- お使いになっているハードディスクにエラーが発生している。

{ ""[ツール]"" } から [データベースをチェック] を実行して、お使いになっているコレクションが破損していないことを確認することをお勧めします。"
ANGLE (may work better than OpenGL),ANGLE（OpenGLよりうまく作動する可能性あり）
Anki Already Running,Ankiはすでに起動済みです
Anki encountered a problem. Please follow the troubleshooting steps.,Anki で問題が発生しました。次のトラブルシューティングの手順に従ってください。
"Anki is a friendly, intelligent spaced learning system. It's free and open source.",Anki は、誰でも使える知的な分散学習システムです。しかも無料でオープンソース。
Anki is licensed under the AGPL3 license. Please see the license file in the source distribution for more information.,Anki は、AGPL3 ライセンスの下で使用許諾しています。更に詳しい情報をご覧になりたい方は、配布ソースコードの中の LICENSE ファイルをご覧ください。
"Anki was unable to open your collection file. If problems persist after restarting your computer, please use the Open Backup button in the profile manager.

Debug info:","コレクションファイルを開けませんでした。コンピューターを再起動しても問題が続く場合は、メニューの[ファイル]→[プロファイルを切り替える]→[バックアップを開く...] で最近バックアップしたコレクションを復元してください。

Debug info:"
&Auto,自動調整 (&A)
"Automatic syncing and backups have been disabled while restoring. To enable them again, close the profile or restart Anki.",復元処理中は、自動同期と自動バックアップの機能は無効になっています。「プロファイル」画面を閉じた後、またはAnkiを再起動した後に、再び有効になります。
Backing Up...,バックアップ中...
Back Side Only,裏面のみ
"<b>Important</b>: As add-ons are programs downloaded from the internet, they are potentially malicious.<b>You should only install add-ons you trust.</b><br><br>Are you sure you want to proceed with the installation of the following Anki add-on(s)?<br><br>%(names)s",<b>重要</b>：アドオンはインターネットからダウンロードされるプログラムであるため、マルウェアである可能性もあります。<b>信頼できるアドオンだけをインストールしてください。</b><br><br>以下のAnkiのアドオンのインストールを続行してもよろしいですか？<br><br>%(names)s
<b>Please restart Anki to complete the installation.</b>,<b>インストールを完了させるためにAnkiを再起動してください。</b>
Browse,ブラウザ
Browse Add-ons,アドオン一覧
&Browse and Install...,検索とインストール...(&B)
&Cards,カード(&C)
Change Note Type (Ctrl+N),ノートタイプを変更（Ctrl+N）
Changes will take effect when Anki is restarted.,変更を反映させるにはAnkiを再起動してください。
&Check Database,データベースをチェック (&C)
Check for Updates,アップデートを確認
Checking...,確認中...
Check &Media...,メディアをチェック
Check the files in the media directory,メディアフォルダにあるファイルを検査
Choose Deck,デッキを選択してください
Choose Note Type,ノートタイプを選択してください
Closing...,終了中...
Code:,コード:
Config,設定
Configuration,設定
Configure '{ $name }',「{ $name }」を設定
Configure interface language and options,インターフェイス言語とオプションを設定
Copied to clipboard,クリップボードにコピーしました。
Copied to clipboard,クリップボードにコピーしました。
Copy Debug Info,デバッグ情報をコピー
Copy Debug Info,デバッグ情報をコピー
Copy to Clipboard,クリップボードへコピー
Corrupt add-on file.,破損したアドオンファイル
Create &Backup,バックアップを作成 (&B)
Create Filtered Deck...,フィルターデッキを作成...
Debug Console,デバッグコンソール
Deck will be imported when a profile is opened.,プロファイルを開いた時にデッキをインポートします。
default,デフォルト
Default,デフォルト
Delete the { $count } selected add-ons?,選択した{ $count }個のアドオンを削除しますか？
(disabled),(無効)
(disabled),(無効)
Downgrade && Quit,ダウングレード && 終了
Download complete. Please restart Anki to apply changes.,ダウンロードが完了しました。変更を適用するにはAnkiを再起動してください。
Downloaded { $fname },{ $fname } をダウンロードしました。
Downloading { $part }/{ $total } ({ $kilobytes }KB)...,ダウンロード中 { $part }/{ $total } ({ $kilobytes }KB)...
&Edit,編集 (&E)
Empty Cards...,白紙カードをチェック
Error,エラー
"# Error

An error occurred. Please start Anki while holding down the shift key,
which will temporarily disable the add-ons you have installed.

If the issue only occurs when add-ons are enabled, please use the
Tools > Add-ons menu item to disable some add-ons and restart Anki,
repeating until you discover the add-on that is causing the problem.

When you've discovered the add-on that is causing the problem, please
report the issue to the add-on author.

Debug info:","# エラー

エラーが発生しました。Shiftキーを押した状態でAnkiを起動してください。この操作により、インストールされているアドオンすべてが一時的に無効になります。

アドオンすべてを無効にすると問題が起こらなくなる場合、メニューの[ツール] > [アドオン] でアドオン管理画面を開き、アドオンを１つまたはいくつか無効にしてAnkiを再起動してみてください。この手順を繰り返し、問題を引き起こすアドオンを特定してください。

問題を引き起こすアドオンを特定できた際は、そのアドオンの作者に問題をご報告いただければ幸いです。

デバッグ情報："
"# Error

An error occurred. Please use **Tools > Check Database** to see if
that fixes the problem.

If problems persist, please report the problem on our { -errors-support-site }.
Please copy and paste the information below into your report.","# エラー

エラーが発生しました。[ツール] >[データベースをチェック] を実行し、問題が解消されたかどうか確認してください。

引き続き問題が生じる場合は{ -errors-support-site }に報告してください。その際、以下に記載されている情報をコピーして報告の中に貼り付けてください。"
Error downloading <i>{ $id }</i>: { $error },{ $id } のダウンロード中にエラーが発生しました: { $error }
Error during startup: { $val },起動中にエラーが発生しました： { $val }
Error installing <i>{ $base }</i>: { $error },{ $base } のインストール中にエラーが発生しました: { $error }
Error loading '{ $mode }' graphics driver. Please start Anki again to try next driver. { $context },「{ $mode }」グラフィックドライバをロード中にエラーが発生しました。Ankiを再び起動し、次のドライバを試してください。{ $context }
E&xit,終了 (&X)
&Export...,エクスポート (&E)
&Export Notes...,ノートをエクスポート (&E)...
&File,ファイル (&F)
Fil&ter,フィルター (&T)
Filtered Deck { $val },フィルターデッキ { $val }
&Find,検索 (&F)
Find and Re&place...,検索して置換 (&P)...
Find &Duplicates...,重複を検索 (&D)...
Get Add-ons...,新たにアドオンを取得...
&Go,移動 (&G)
&Guide...,ガイド (&G)
<h1>Anki Updated</h1>Anki { $val } has been released.<br><br>,<h1>Anki アップデート</h1>Anki { $val } がリリースされました。<br><br>
&Help,ヘルプ (&H)
&Horizontal,テーブルの右側 (&H)
Horizontal layout enabled,エディタをテーブルの右側に配置しました
"If the existing instance of Anki is not responding, please close it using your task manager, or restart your computer.",起動済みのAnkiが反応しない場合、タスクマネージャーを使用してAnkiを終了するか、コンピュータを再起動してください。
"If you have contributed and are not on this list, please get in touch.",貢献していただいたのにお名前がこの一覧に記載されていない方は、どうぞご連絡ください。
Ignore this update,このアップデートを無視する
&Import...,インポート (&I)
&Info...,カード情報
"In order to ensure your collection works correctly when moved between devices, Anki requires your computer's internal clock to be set correctly. The internal clock can be wrong even if your system is showing the correct local time.<br><br>Please go to the time settings on your computer and check the following:<br><br>- AM/PM<br>- Clock drift<br>- Day, month and year<br>- Timezone<br>- Daylight savings<br><br>Difference to correct time: { $val }.",デバイス間で移動したコレクションが正しく動作するために、コンピュータの内蔵時計を正確に設定する必要があります。お使いになっているシステムが現地時間を正しく表示している場合でも、内蔵時計が間違っていることがあります。<br><br>お使いになっているコンピュータの時刻設定で次の項目を確認してください。<br><br>- 午前/午後<br>- 時刻同期<br>- 年月日<br>- 時間帯<br>- 夏時間<br><br>正確な時刻からのずれ: { $val }秒
Install Add-on,アドオンをインストールする
Install Add-on(s),アドオンをインストールする
Install Anki add-on,Ankiアドオンをインストール
Installation complete,インストール完了
Installed { $name },{ $name } をインストールしました
Installed successfully.,インストールが完了しました。
Install from file...,ファイルからインストール...
Invalid add-on manifest.,無効なアドオンのマニフェスト
Invalid code.,コードが無効です。
"Invalid code, or add-on not available for your version of Anki.",無効なコードです。数字が誤っているか、このアドオンがこのバージョンのAnkiに対応していません。
Invalid configuration:,無効な設定:
Invalid configuration: top level object must be a map,無効な設定：トップレベルのオブジェクトはマップである必要があります
"Invalid property found on card. Please use Tools>Check Database, and if the problem comes up again, please ask on the support site.",カードに無効なプロパティを設定しています。[ツール] から [データベースをチェック] を実行してください。それでもこの問題が解決しない場合は、サポートサイトでご質問ください。
&Invert Selection,選択を反転 (&I)
&Layout,エディタの配置 (&L)
Loading...,読み込み中...
macOS is in dark mode,macOSでダークモードを使用中
Manage,ノートタイプの管理
Manage Note Types,ノートタイプを管理
Name exists.,使用済みの名前です。
&Next Card,次のカード (&N)
<non-unicode text>,<Unicode ではないテキスト>
N&ote,ノート (&O)
&Notes,ノート(&N)
No updates available.,利用可能なアップデートはありません。
"No usable temporary folder found. Make sure C:\\temp exists or TEMP in your environment points to a valid, writable folder.",使用できる一時フォルダがみつかりませんでした。C:\\tempが存在するか、あるいは、あなたの環境のTEMPが有効で書き込み可能なフォルダへ向かっているか確認してください。
One or more errors occurred:,１つかそれ以上のエラーが発生しました：
&Open Add-ons Folder...,アドオンフォルダを開く (&O)
"OpenGL (faster, may cause issues)",OpenGL（速い、問題が起こる可能性あり）
OpenGL (recommended on Macs),OpenGL（Macで推奨）
Optimizing...,最適化しています...
Packaged Anki Add-on,パッケージ化されたAnkiアドオン
Please check your internet connection.,インターネット接続を確認してください
"Please connect a microphone, and ensure other programs are not using the audio device.",マイクを接続して、他のプログラムがオーディオデバイスを使用していないことを確認してください。
"Please ensure a profile is open and Anki is not busy, then try again.",プロファイルが開いていて、Anki は処理中でないことを確認してから、もう一度実行してください。
Please report this to the respective add-on author(s).,当該アドオン作成者に報告してください。
(please select 1 card),(カードを一枚選択してください)
Please select a deck.,デッキを選択してください。
Please select a single add-on first.,はじめにアドオンを選択してください。
Please use File>Import to import this file.,このファイルを読み込むには、 [ファイル] から [インポート] を実行してください。
&Preferences...,設定(&P)
&Previous Card,前のカード (&P)
Processing...,処理中...
&Redo,やり直す (&R)
Replace your collection with an earlier backup?,現在のコレクションの代わりに、今までにバックアップされたコレクションを使用することができます。リストを開きますか？
(requires { $val }),({ $val }が必要)
&Reschedule...,スケジュールを変更...(&R)
&Reset,リセット (&R)
&Reset Zoom,拡大縮小をリセット (&R)
Responsive layout enabled,エディタの配置を自動調整にしました
Restored defaults,初期設定に戻す
Resume Now,学習し続ける
Reverted to state prior to '{ $val }'.,「{ $val }」より前の状態に戻りました。
Revert to backup,バックアップされたコレクションの復元
"""Segoe UI""","""Segoe UI"", ""MS PGothic"""
Select &All,すべてを選択 (&A)
Select &Notes,ノートを選択 (&N)
Set &Due Date...,期日を指定 (&D)...
Shift key was held down. Skipping automatic syncing and add-on loading.,Shiftキーを押したまま起動したため、自動的な同期とアドオンの読み込みを省略しました。
Shortcut key: Left arrow,ショートカットキー：左矢印
Shortcut key: Right arrow or Enter,ショートカットキー：右矢印またはエンターキー
Software (not recommended),ソフトウェア（非推奨）
Software (slower),ソフトウェア（遅い）
Stats,統計
Study Deck...,デッキを選択...
&Support Anki...,Anki への支援 (&S)
[support site](https://help.ankiweb.net),[サポートサイト](https://help.ankiweb.net)
&Switch Profile,プロファイルを切り替える (&S)
Sync,同期
Target Deck (Ctrl+D),対象デッキ（Ctrl+D）
The following add-ons are incompatible with { $name } and have been disabled: { $found },これらのアドオンは{ $name }と互換性がないため無効化されました：{ $found }
"The following add-ons failed to load:
{ $addons }

They may need to be updated to support this version of Anki. Click the { addons-check-for-updates } button
to see if any updates are available.

You can use the { about-copy-debug-info } button to get information that you can paste in a report to
the add-on author.

For add-ons that don't have an update available, you can disable or delete the add-on to prevent this
message from appearing.","次のアドオンの読み込みに失敗しました：
{ $addons }

上記のアドオンは、このバージョンのAnkiで使用するためにはアップデートが必要である可能性があります。「{ addons-check-for-updates }」ボタンをクリックして、利用可能なアップデートがないか確認してください。

「{ about-copy-debug-info }」ボタンをクリックすると、 アドオンの作者に問い合わせを行う際に作者にとって参考となる情報を取得できます。

利用可能なアップデートがないアドオンについては、そのアドオンを無効にするか削除することで、このメッセージが表示されないようにすることができます。"
The following add-ons have updates available. Install them now?,以下のアドオンにアップデートがあります。今すぐインストールしますか？
The following character can not be used: { $val },次の文字は使えません: { $val }
The following conflicting add-ons were disabled:,これらの競合するアドオンを無効化しました：
The problem may be caused by an add-on.,この問題はアドオンが原因である可能性があります。
There must be at least one profile.,最低限一つのプロファイルが必要です。
"The requested change will require a full upload of the database when you next synchronize your collection. If you have reviews or other changes waiting on another device that haven't been synchronized here yet, they will be lost. Continue?",この変更を他のデバイスと同期するには、次回の同期の際にデータベースの完全なアップロードが必要となります。他のデバイスでカード学習やその他の変更を行って、まだこのデバイスとの同期が済んでいない場合、それらの変更は失われます。処理を続行しますか？
"There was a problem with the provided configuration: { $problem }, at path { $path }, against schema { $schema }.",与えられた条件の設定に問題がありました：{ $problem }、at path = { $path }、against schema = { $schema }
"The TTS service failed. Please ensure Windows updates are installed, try restarting your computer, and try using a different voice.",TTSサービスに失敗しました。Windowsのアップデートがインストールされていることを確認し、コンピュータを再起動し、別の声をお試しください。
This add-on is not compatible with your version of Anki.,このアドオンはご使用のAnkiのバージョンとの互換性がありません。
This file exists. Are you sure you want to overwrite it?,このファイルは既に存在します。上書きしますか？
"This folder stores all of your Anki data in a single location,
to make backups easy. To tell Anki to use a different location,
please see:

{ $link }","このフォルダーは、すべての Anki データを保存する唯一の場所です。これによってバックアップが簡単になります。別の場所を設定するには次の情報をご覧ください:

{ $link }"
"To browse add-ons, please click the browse button below.<br><br>When you've found an add-on you like, please paste its code below. You can paste multiple codes, separated by spaces.",下の「アドオン一覧」ボタンをクリックすると、使用可能なアドオンの一覧が表示されます。<br><br>使用したいアドオンがある場合は、そのアドオンのページの「Download」欄に記載されているコード（8桁の数字）をコピーして下の欄に貼り付けてください。スペースで間隔を空けて複数のコードを入力することも可能です。
Toggle Enabled,有効/無効 の切り替え
Toggle &Full Screen,全画面表示 (&F)
&Tools,ツール (&T)
Troubleshooting,トラブルシューティング
Unable to access Anki media folder. The permissions on your system's temporary folder may be incorrect.,Ankiメディアフォルダにアクセスすることができません。あなたのシステム上の一時フォルダのアクセス許可が誤っている可能性があります。
Unable to move existing file to trash - please try restarting your computer.,ファイルをゴミ箱に移動することができません。コンピューターを再起動してみてください。
"Unable to record. Please ensure a microphone is connected, and Anki has permission to use the microphone.
If other programs are using your microphone, closing them may help.

Original error: { $error }","録音できませんでした。マイクが正しく接続されており、Ankiがマイクの使用を許可されていることをご確認ください。
別のソフトウェアがマイクを使用している場合、それらを終了させることで問題が解決することがあります。
オリジナルエラー: { $error }"
"Unable to update or delete add-on. Please start Anki while holding down the shift key to temporarily disable add-ons, then try again.  Debug info: { $val }",アドオンを更新または削除することができません。一時的にアドオンを無効にするため、Shiftキーを押したままの状態でAnkiを起動し、その後再度お試しください。  デバッグ情報：{ $val }
&Undo,元に戻す (&U)
Undo,元に戻す
Undo { $val },元に戻す - { $val }
Unexpected response code: { $val },予期しない応答コード：{ $val }
Unknown error: { $val },不明なエラー：{ $val }
Update Add-ons,アドオンをアップデート
Update All,すべてをアップデート
Version { $val },バージョン { $val }
&Vertical,テーブルの下側 (&V)
Vertical layout enabled,エディタをテーブルの下側に配置しました
Video driver,ビデオドライバ
&View,表示 (&V)
View Add-on Page,選択中のアドオンの詳細
View Files,ファイルを見る
Waiting for editing to finish.,編集が終わるのを待っています。
Would you like to download it now?,今ダウンロードしますか？
"Written by Damien Elmes, with patches, translation,    testing and design from:<p>{ $cont }",Damien Elmes が作成しました。パッチ、翻訳、テスト、デザインで次の方々にご協力いただきました:<p>{ $cont }
"Your collection file appears to be corrupt. This can happen when the file is copied or moved while Anki is open, or when the collection is stored on a network or cloud drive. If problems persist after restarting your computer, please open an automatic backup from the profile screen.",コレクションが破損しているおそれがあります。このような破損は、Ankiを使用中に中身のファイルの移動やコピーを行った場合や、コレクションをネットワークドライブやクラウドドライブに保管している場合に起きることがあります。コンピューターを再起動しても問題が続く場合は、メニューの [ファイル] → [プロファイルを切り替える] → [バックアップを開く] で、自動バックアップされたコレクションを復元することを検討してください。
"Your computer's storage may be full. Please delete some unneeded files, then try again.",あなたのコンピュータにストレージ空き容量がありません。不要なファイルを削除し、再度お試しください。
Your firewall or antivirus program is preventing Anki from creating a connection to itself. Please add an exception for Anki.,ファイアウォールかウイルス対策ソフトがAnkiの接続処理を妨げています。Ankiを例外リストに追加してください。
"Your video driver is incompatible. Please start Anki again, and Anki will switch to a slower, more compatible mode.",使用しているビデオドライバと互換性がありません。Ankiを再び起動すると、より速度の遅い互換性のあるモードに切り替わります。
Zoom Editor &In,エディタを拡大 (&I)
Zoom Editor &Out,エディタを縮小 (&O)
Zoom &In,拡大 (&I)
Zoom &Out,縮小 (&O)
{ $num } available,{ $num }が学習可能
{ $part }/{ $total } selected,{ $part }/{ $total }件選択
+5s,+5秒
-5s,-5秒
"A big thanks to everyone who has provided translations, bug reports, and suggestions.",翻訳、バグ報告、提案をしてくださったすべての方々に心から感謝申し上げます。
About,Ankiについて
Actions,アクション
Add,追加
Add Cards,カードを追加
Add Deck,デッキを追加
Added note.,ノートを追加しました。
Added to frequent actions.,よく使用するアクションに追加しました。
Add Empty Deck,新しいデッキを作る
Add/Export,追加/エクスポート
Add New,新規追加
Add Options Group,設定グループを追加
Add Profile,プロファイルを追加
A deck must be provided.,デッキを指定してください。
A deck named '{ $name }' already exists.,デッキ名「{ $name }」はすでに存在しています。
A deck with that name already exists.,同じ名前のデッキがすでに存在しています。
Alert Time,通知時刻
Alert When Due,定時に、課題があれば枚数を通知
All Actions,すべてのアクション
Already in frequent actions.,すでによく使用するアクションに登録されています。
Always Duck Background,他アプリの音（BGMなど）の音量を常に抑えめにする
Always Duck + Ignore Mute,BGM抑制 ＋ ミュート無視
An error occurred: { $error },エラーが発生しました：{ $error }
"AnkiMobile is built with { $link }, generously shared by the developer community.",AnkiMobileは、iOSデベロッパー・コミュニティーで寛大に共有されている{ $link }を元に作成されています。
"AnkiMobile was written by Damien Elmes and Richard Smith, and is based off Damien's work on the computer version of Anki.",AnkiMobileは、Damien Elmesのコンピュータ版Ankiを元に、DamienとRichard Smithによって作られたアプリです。
A note type must be provided.,ノートタイプを指定してください。
A note with the same first field already exists.,最初のフィールドが同一のノートがすでに存在します。
Ans.A,もう一度
Ans.E,簡単
Ans.G,正解
Ans.H,難しい
Answer Action,回答アクション
Answer Again,回答 (もう一度)
Answer Easy,回答 (簡単)
Answer Good,回答 (正解)
Answer Hard,回答 (難しい)
Answer Keeps Zoom,解答表示の際に画面拡大を維持
Answer Seconds,解答を表示する時間 (秒)
Answer Side,解答側
Answer time cap,回答時間の上限 (秒)
Answer time elapsed,解答表示時間が経過しました
any,すべて
Append,条件を追加
Append Negated,否定条件を追加
App Icon Shows Due Count,アプリのアイコンに課題枚数を表示
A profile must be provided.,プロファイル名が必要です。
A profile with that name already exists.,同じプロファイル名がすでに使用されています。
Are you sure?,本当によろしいですか？
Audio Buttons,音声再生ボタンを表示
Auto Adv.,自動送
Auto Advance,カードの自動送り
Auto advance starting,カードの自動送りを開始します
Auto advance stopped,カードの自動送りを停止しました
Auto Capitalize,英字入力時に文頭を自動で大文字にする
Auto Correct,オートコレクト
Autoplay in Silent Mode,サイレントモードでも音声を自動再生
Available backups,現在利用可能なバックアップ
Back,戻る
Bar Style,バーの外観
Black,ブラック
Bold,太字
Bot.B,ボトム
Bottom Bar,ボトムバー
Bottom Bar Size,ボトムバーのサイズ
Bottom Center,中央下
Bottom Left,左下
Bottom Right,右下
Browse,ブラウザ
Browse,ブラウザ
Bury.C,カ.非表
Bury.N,ノ.非表
Bury related new cards,関連する新規カードを今日は非表示
Bury related reviews,関連する復習カードを今日は非表示
Button { $num },ボタン{ $num }
Button Mapping,ボタン配置
Cancel and lose any unsaved changes?,キャンセルをすると、保存していない変更は失われますがよろしいですか？
Cannot Delete,削除できません
Can't edit - original image data not found.,画像の元データが見つからないため編集できません。
Can't extend limits - no extra cards are available.,これ以上学習できるカードがないので、上限を上げることができません。
Card buried,カードを今日は非表示にしました
Card Info,カード情報
Card limit,カード数の上限
Card returned to new card queue.,新規カードのキューに戻しました。
Cards in a filtered deck can't be moved.,フィルターデッキ内のカードを移動することはできません。
Card suspended,カードを休止しました
Cards will be returned to their original deck as you answer them.,ここで回答したカードは元のデッキに戻されます。
Card Template,カードテンプレート
Card unsuspended,カードの休止を解除しました
Card Updated,カードを更新しました
Change Flag,フラグを変更
C.Info,カ.情報
Clear Flag,フラグを消去
Collection saved to iTunes.,コレクションをiTunesに保存しました。
Column { $number },列 { $number }
Column 1,列 1
Column 2,列 2
Confirm Delete,削除の確認
Confirm Reset,リセットの確認
Convert Smart Quotes & Dashes,スマート引用符とダッシュを自動変換
Cram seen cards with certain tags,復習済タグ付カードを詰込
Create,作成
Create Now,今すぐ作成
Creating Backup...,バックアップを作成中…
Crop Camera Photos,カメラで撮影した写真をクロップ（切り出し）
Current Audio +5s,音声+5秒
Current Audio -5s,音声-5秒
Custom,カスタム
Custom Steps,カスタム学習ステップ
Custom study can't be used on a filtered deck.,カスタム学習機能をフィルターデッキで使用することはできません。
Dark,ダーク
Dark & Translucent,ダーク & 半透明
Day Starts,日付更新時刻
Days to look ahead,先取りする日数
Days to look back,遡る日数
Deck:,デッキ：
Deck Exists,すでにあるデッキ
Deck Name,デッキの名前
Deck Options,デッキオプション
Decks,デッキ
Deck Statistics,デッキの統計
Defaults,デフォルト
Del,削除
Delete imported file?,インポートしたファイルを削除しますか？
Delete note and its cards?,ノートとそれに関連するカードを削除しますか？
Deleting this options group will prevent any changes from being merged from other devices on the next sync. Proceed?,この設定グループを削除すると、次に同期をする際、他のデバイス上で変更したことをご使用中のデバイスに統合できません。それでも削除しますか？
Discard,破棄
Discard changes?,変更を破棄しますか？
Discard Changes,変更を破棄
Display in order added,追加順にカードを表示
Display in random order,ランダムにカードを表示
does not appear to be a valid http/https link.,は、有効なhttp/httpsリンクではありません。
Done,完了
Do Nothing,何もしない
Double Tap Prevention,ダブルタップ防止
Down,下
Downloading...,ダウンロード中...
Download Link,リンク先からダウンロード
Drag here to remove,除去するにはここにドラッグ
Draw,手書き
Drawing Screen Ignores Fingers,手書きスクリーンで指での入力を無視
D.Stats,統計
Due Date/Order,学習日/順序
Due Reviews,課題 (期日・予定時刻が到来済み)
Edit,編集
Editing,編集
Email address,メールアドレス
Empty,空にする
Error initializing recorder.,録音できませんでした。
"Error playing audio. This can be caused by a corrupt file, a file iOS does not support (eg .ogg), or an mp3 file incorrectly named .wav",音声再生でエラーが発生しました。エラーの原因として、いずれかが考えられます：ファイルの破損、iOSに対応していないファイル (.oggなど)、誤まって「.wav」という拡張子が付いているMP3ファイル。
Exclude cards with tag,タグ付カードを除外
Export Collection,コレクションをエクスポート
Exporting...,エクスポート中...
Export to iTunes,iTunes にエクスポート
Export to Share Sheet,共有シートにエクスポート
Extra new cards,新規カード増量
Extra review cards,復習カード増量
Feedback Ticks,回答確認用のマークを表示
File invalid or corrupt.,無効なファイルです。
Filter,フィルター
Filter/Cram,フィルター / 詰め込み
Filtered Deck,フィルターデッキ
Filtered Deck { $num },フィルターデッキ { $num }
Fine,細い
Finishing Backup...,バックアップを終了中...
Flag 1,フラグ 1
Flag 1 (Red),フラグ 1 (赤)
Flag 2,フラグ 2
Flag 2 (Orange),フラグ 2 (橙)
Flag 3,フラグ 3
Flag 3 (Green),フラグ 3 (緑)
Flag 4,フラグ 4
Flag 4 (Blue),フラグ 4 (青)
Follow System,システムに従う
Force a one way sync? All changes on one side will be lost.,一方の状態をもう片方に上書きしますか？実行した場合、片方で行われた変更はすべて失われます。
Force Off,強制オフ
Force On,強制オン
Forgot card,カードの学習進度をリセットしました
Frequent Actions,よく使用するアクション
From Camera,カメラから
From File,ファイルから
From Photos,写真から
Full,完全透明
Full Sync Required,完全同期が必要です
Gamepads,ゲームパッド
Group name,グループ名
Height,パッドの大きさ
High Quality Video,カメラで撮影する動画を高画質にする
How many days in the future?,何日後に学習しますか？
Huge,特大
Ignore Fingers,指での入力を無視
Import complete.,インポートが完了しました。
Import from iTunes,iTunesからインポート
Importing...,インポート中...
Include cards with tag,タグ付カードを含める
